nice: cannot set niceness: Permission denied
Precompiling packages...
   1720.5 ms  ✓ UUIDs
   1716.8 ms  ✓ nghttp2_jll
   1717.7 ms  ✓ MozillaCACerts_jll
   1721.7 ms  ✓ NetworkOptions
   1726.4 ms  ✓ Logging
   1742.5 ms  ✓ Unicode
   1759.6 ms  ✓ Zlib_jll
   1845.9 ms  ✓ OpenSSL_jll
   1836.8 ms  ✓ CompilerSupportLibraries_jll
   1854.9 ms  ✓ Base64
    459.9 ms  ✓ LibSSH2_jll
    540.3 ms  ✓ p7zip_jll
    684.4 ms  ✓ Printf
    477.9 ms  ✓ LibGit2_jll
    482.9 ms  ✓ LibCURL_jll
   3153.1 ms  ✓ ArgTools
    768.1 ms  ✓ LibCURL
    673.0 ms  ✓ Tar
   2921.6 ms  ✓ Dates
    467.5 ms  ✓ TOML
   3068.9 ms  ✓ LibGit2
   3087.4 ms  ✓ Downloads
   9499.1 ms  ✓ StyledStrings
   1642.5 ms  ✓ JuliaSyntaxHighlighting
   3930.7 ms  ✓ Markdown
  48230.8 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2487.5 ms  ✓ IteratorInterfaceExtensions
   2502.7 ms  ✓ Future
   2574.6 ms  ✓ DataValueInterfaces
   2778.3 ms  ✓ OpenLibm_jll
   2787.6 ms  ✓ LaTeXStrings
   2863.6 ms  ✓ Reexport
   2977.7 ms  ✓ InverseFunctions
   3062.7 ms  ✓ ExprTools
   3094.5 ms  ✓ SuiteSparse_jll
   3252.1 ms  ✓ EnumX
   3800.9 ms  ✓ Serialization
   3876.4 ms  ✓ Statistics
   4170.8 ms  ✓ DocStringExtensions
   2794.0 ms  ✓ CompositionsBase
   2683.2 ms  ✓ DataAPI
   2621.0 ms  ✓ FastClosures
   2903.1 ms  ✓ Adapt
   3114.5 ms  ✓ StaticArraysCore
   3989.8 ms  ✓ EnzymeCore
   3476.8 ms  ✓ LoggingExtras
   2405.3 ms  ✓ TableTraits
   3922.6 ms  ✓ Preferences
   5678.8 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   2794.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  10183.6 ms  ✓ OrderedCollections
   2706.9 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   5617.5 ms  ✓ LazyArtifacts
  11608.0 ms  ✓ FunctionWrappers
   3006.3 ms  ✓ DiffResults
   3497.6 ms  ✓ GPUArraysCore
   9598.7 ms  ✓ ConstructionBase
   2503.9 ms  ✓ EnzymeCore → AdaptExt
   2602.9 ms  ✓ JLLWrappers
   2390.8 ms  ✓ PrecompileTools
   2322.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   9880.3 ms  ✓ Compat
  13301.5 ms  ✓ Crayons
  10594.4 ms  ✓ NaNMath
  14095.1 ms  ✓ IrrationalConstants
   3783.5 ms  ✓ OpenSpecFun_jll
  14199.2 ms  ✓ InteractiveUtils
   9914.9 ms  ✓ ArrayInterface
  18268.3 ms  ✓ MacroTools
   5414.0 ms  ✓ MuladdMacro
   3216.0 ms  ✓ CommonSolve
   4810.5 ms  ✓ ADTypes
   3714.6 ms  ✓ FastPower
   6991.2 ms  ✓ IntelOpenMP_jll
   8082.6 ms  ✓ oneTBB_jll
   3502.0 ms  ✓ SciMLPublic
   2802.6 ms  ✓ Compat → CompatLinearAlgebraExt
  16409.2 ms  ✓ Distributed
   8685.6 ms  ✓ RecipesBase
   3594.0 ms  ✓ LogExpFunctions
   4588.9 ms  ✓ SciMLLogging
   3193.4 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
  13284.4 ms  ✓ Tables
   2404.8 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   7479.9 ms  ✓ BinaryHeaps
  12493.8 ms  ✓ ConcreteStructs
   3702.3 ms  ✓ CommonSubexpressions
   2326.4 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   3409.3 ms  ✓ TruncatedStacktraces
   2595.0 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   7918.1 ms  ✓ FastBroadcast
  23715.2 ms  ✓ SparseArrays
   2703.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   7613.5 ms  ✓ Setfield
   8401.4 ms  ✓ MaybeInplace
  10803.9 ms  ✓ SciMLStructures
   8008.0 ms  ✓ MKL_jll
   4285.7 ms  ✓ AMD
   4578.0 ms  ✓ Statistics → SparseArraysExt
  20173.4 ms  ✓ StringManipulation
  17457.2 ms  ✓ RuntimeGeneratedFunctions
  12282.1 ms  ✓ DifferentiationInterface
   9417.6 ms  ✓ PreallocationTools
   4396.6 ms  ✓ Adapt → AdaptSparseArraysExt
  19681.6 ms  ✓ FindFirstFunctions
   3008.9 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   1923.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   3237.0 ms  ✓ FiniteDiff
   3306.2 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2212.9 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
  11921.0 ms  ✓ FunctionWrappersWrappers
