Precompiling Pkg...
   1027.6 ms  ✓ UUIDs
   1022.9 ms  ✓ MbedTLS_jll
   1111.3 ms  ✓ nghttp2_jll
   1120.9 ms  ✓ Logging
   1131.6 ms  ✓ MozillaCACerts_jll
   1148.3 ms  ✓ Unicode
   1216.5 ms  ✓ Zlib_jll
   1265.6 ms  ✓ NetworkOptions
   1235.1 ms  ✓ p7zip_jll
   1298.6 ms  ✓ Base64
    455.7 ms  ✓ LibSSH2_jll
    492.4 ms  ✓ Printf
    364.7 ms  ✓ LibCURL_jll
    366.0 ms  ✓ LibGit2_jll
   2110.3 ms  ✓ ArgTools
    626.4 ms  ✓ LibCURL
    589.4 ms  ✓ Tar
   2475.6 ms  ✓ Dates
   2895.1 ms  ✓ Markdown
   2366.5 ms  ✓ LibGit2
    355.1 ms  ✓ TOML
   2936.4 ms  ✓ Downloads
  38857.6 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1688.6 ms  ✓ CommonSolve
   1711.4 ms  ✓ UnPack
   1801.1 ms  ✓ Future
   1801.9 ms  ✓ IteratorInterfaceExtensions
   1891.4 ms  ✓ MuladdMacro
   1997.6 ms  ✓ SimpleUnPack
   2011.5 ms  ✓ ExprTools
   2101.4 ms  ✓ OpenLibm_jll
   2112.3 ms  ✓ ConcreteStructs
   2405.3 ms  ✓ InverseFunctions
   3100.9 ms  ✓ Statistics
   3171.3 ms  ✓ Serialization
   3299.5 ms  ✓ ADTypes
   1894.5 ms  ✓ ManualMemory
   3805.1 ms  ✓ FunctionWrappers
   1985.4 ms  ✓ EnumX
   1892.0 ms  ✓ Reexport
   2372.2 ms  ✓ CompilerSupportLibraries_jll
   4206.3 ms  ✓ FillArrays
   2582.8 ms  ✓ SuiteSparse_jll
   2598.3 ms  ✓ Requires
   2812.0 ms  ✓ OrderedCollections
   2595.1 ms  ✓ NaNMath
   1825.4 ms  ✓ CompositionsBase
   1813.9 ms  ✓ FastPower
   2962.2 ms  ✓ DocStringExtensions
   1801.7 ms  ✓ IfElse
   1737.6 ms  ✓ FastClosures
   1814.0 ms  ✓ CommonWorldInvalidations
   2482.9 ms  ✓ ConstructionBase
   2797.2 ms  ✓ EnzymeCore
   2385.2 ms  ✓ StaticArraysCore
   1694.3 ms  ✓ SIMDTypes
   2601.9 ms  ✓ Compat
   8006.9 ms  ✓ ExproniconLite
   3296.8 ms  ✓ Preferences
   3390.0 ms  ✓ CpuId
   2580.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5232.4 ms  ✓ IrrationalConstants
   2415.0 ms  ✓ RuntimeGeneratedFunctions
   4619.6 ms  ✓ GenericSchur
   2090.2 ms  ✓ FunctionWrappersWrappers
   2270.2 ms  ✓ FillArrays → FillArraysStatisticsExt
   4983.4 ms  ✓ LazyArtifacts
   2307.1 ms  ✓ Parameters
   2119.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2195.9 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2005.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
