nice: cannot set niceness: Permission denied
Precompiling packages...
   1863.1 ms  ✓ IteratorInterfaceExtensions
   1871.2 ms  ✓ LazyArtifacts
   1924.3 ms  ✓ CommonSolve
   1955.4 ms  ✓ MuladdMacro
   1956.0 ms  ✓ ConcreteStructs
   2057.4 ms  ✓ OpenLibm_jll
   2072.4 ms  ✓ ExprTools
   2126.6 ms  ✓ CompilerSupportLibraries_jll
   2238.2 ms  ✓ SuiteSparse_jll
   2442.8 ms  ✓ InverseFunctions
   2872.9 ms  ✓ ADTypes
   3904.8 ms  ✓ FunctionWrappers
   1980.9 ms  ✓ ManualMemory
   1800.2 ms  ✓ Reexport
   1892.4 ms  ✓ EnumX
   1697.7 ms  ✓ SIMDTypes
   2202.6 ms  ✓ Requires
   4362.1 ms  ✓ FillArrays
   2518.1 ms  ✓ Compat
   2798.1 ms  ✓ OrderedCollections
   2611.2 ms  ✓ DocStringExtensions
   3119.3 ms  ✓ Preferences
   5161.5 ms  ✓ GenericSchur
   1807.8 ms  ✓ CompositionsBase
   1734.5 ms  ✓ FastPower
   1784.8 ms  ✓ IfElse
   1902.4 ms  ✓ CommonWorldInvalidations
   1986.1 ms  ✓ FastClosures
   2307.0 ms  ✓ ConstructionBase
   3292.3 ms  ✓ CpuId
   2492.0 ms  ✓ LoggingExtras
   3301.0 ms  ✓ EnzymeCore
   2507.7 ms  ✓ NaNMath
   2796.0 ms  ✓ SciMLPublic
   2789.9 ms  ✓ StaticArraysCore
   2404.6 ms  ✓ RuntimeGeneratedFunctions
   8159.1 ms  ✓ ExproniconLite
   1985.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   8230.1 ms  ✓ Distributed
   5492.6 ms  ✓ IrrationalConstants
   1997.5 ms  ✓ FunctionWrappersWrappers
   2102.8 ms  ✓ Adapt
   2187.7 ms  ✓ Compat → CompatLinearAlgebraExt
   1893.5 ms  ✓ PrecompileTools
   1985.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2308.2 ms  ✓ JLLWrappers
   2286.7 ms  ✓ DiffResults
   2569.4 ms  ✓ SciMLLogging
   2500.8 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2396.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   4902.7 ms  ✓ DifferentiationInterface
   4215.3 ms  ✓ ThreadingUtilities
   2193.3 ms  ✓ EnzymeCore → AdaptExt
  10375.9 ms  ✓ MacroTools
   2792.2 ms  ✓ GPUArraysCore
   3289.6 ms  ✓ LogExpFunctions
   3212.4 ms  ✓ ArrayInterface
   2597.0 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2392.5 ms  ✓ IntelOpenMP_jll
