nice: cannot set niceness: Permission denied
Precompiling packages...
   1957.8 ms  ✓ Reexport
   2034.1 ms  ✓ DataValueInterfaces
   2048.7 ms  ✓ LaTeXStrings
   2043.4 ms  ✓ ExprTools
   2129.7 ms  ✓ OpenLibm_jll
   2157.6 ms  ✓ EnumX
   2136.0 ms  ✓ Adapt
   2166.0 ms  ✓ DelimitedFiles
   2349.3 ms  ✓ InverseFunctions
   2405.2 ms  ✓ ConstructionBase
   3003.8 ms  ✓ Compat
   2949.0 ms  ✓ DocStringExtensions
   3136.1 ms  ✓ OrderedCollections
   3354.0 ms  ✓ EnzymeCore
   3555.2 ms  ✓ FunctionWrappers
   1810.3 ms  ✓ DataAPI
   1826.4 ms  ✓ IteratorInterfaceExtensions
   1897.6 ms  ✓ CompilerSupportLibraries_jll
   1995.0 ms  ✓ LazyArtifacts
   2299.6 ms  ✓ FastClosures
   2411.9 ms  ✓ CompositionsBase
   2823.4 ms  ✓ ArrayInterface
   2493.3 ms  ✓ LoggingExtras
   2404.4 ms  ✓ StaticArraysCore
   5629.5 ms  ✓ IrrationalConstants
   2276.4 ms  ✓ NaNMath
   3092.2 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   2203.7 ms  ✓ GPUArraysCore
   2199.4 ms  ✓ SuiteSparse_jll
   2005.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3088.4 ms  ✓ Preferences
   2192.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   1905.9 ms  ✓ EnzymeCore → AdaptExt
   2198.6 ms  ✓ Compat → CompatLinearAlgebraExt
   1883.2 ms  ✓ TableTraits
   1818.9 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1708.6 ms  ✓ DiffResults
   1708.9 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   1498.3 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   3624.9 ms  ✓ Sobol
   5604.3 ms  ✓ Crayons
   1223.9 ms  ✓ PrecompileTools
   1801.5 ms  ✓ JLLWrappers
   2307.8 ms  ✓ LogExpFunctions
   7921.0 ms  ✓ Distributed
   2474.1 ms  ✓ CommonSolve
   2630.3 ms  ✓ SciMLPublic
   3475.6 ms  ✓ MuladdMacro
   8818.4 ms  ✓ MacroTools
   4280.8 ms  ✓ ADTypes
   4919.4 ms  ✓ Tables
   4195.0 ms  ✓ FastPower
   5298.7 ms  ✓ BinaryHeaps
   3012.2 ms  ✓ SciMLStructures
   2314.4 ms  ✓ IntelOpenMP_jll
   5953.5 ms  ✓ RecipesBase
   2609.5 ms  ✓ oneTBB_jll
   4169.0 ms  ✓ SciMLLogging
   2568.7 ms  ✓ OpenSpecFun_jll
   2692.8 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2297.2 ms  ✓ TruncatedStacktraces
   2125.6 ms  ✓ CommonSubexpressions
   3513.0 ms  ✓ FunctionWrappersWrappers
   5901.0 ms  ✓ FastBroadcast
   8087.9 ms  ✓ RuntimeGeneratedFunctions
   8973.9 ms  ✓ ConcreteStructs
   2203.2 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2095.0 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   4890.6 ms  ✓ PreallocationTools
   2274.6 ms  ✓ MKL_jll
   4536.1 ms  ✓ Setfield
  10503.0 ms  ✓ FindFirstFunctions
   2206.9 ms  ✓ RespecializeParams
   4817.9 ms  ✓ DifferentiationInterface
  13387.5 ms  ✓ SparseArrays
   1623.4 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
   1893.5 ms  ✓ FindFirstFunctions → FindFirstFunctionsEnzymeCoreExt
   2892.7 ms  ✓ FiniteDiff
   6636.5 ms  ✓ MaybeInplace
   2211.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
