nice: cannot set niceness: Permission denied
Precompiling packages...
   2087.8 ms  ✓ CommonSolve
   2108.0 ms  ✓ OpenLibm_jll
   2110.9 ms  ✓ EnumX
   2102.3 ms  ✓ ExprTools
   2111.7 ms  ✓ Reexport
   2154.2 ms  ✓ IteratorInterfaceExtensions
   2209.3 ms  ✓ ConcreteStructs
   2280.3 ms  ✓ ConstructionBase
   2270.6 ms  ✓ CompilerSupportLibraries_jll
   2373.4 ms  ✓ Adapt
   2585.1 ms  ✓ InverseFunctions
   3091.3 ms  ✓ DocStringExtensions
   3345.2 ms  ✓ Compat
   3404.2 ms  ✓ EnzymeCore
   3809.0 ms  ✓ FunctionWrappers
   1880.3 ms  ✓ LazyArtifacts
   1888.4 ms  ✓ FastClosures
   1909.7 ms  ✓ CompositionsBase
   1994.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2278.8 ms  ✓ NaNMath
   1993.6 ms  ✓ SciMLPublic
   2486.6 ms  ✓ LoggingExtras
   2309.6 ms  ✓ StaticArraysCore
   1918.1 ms  ✓ FastPower
   2199.1 ms  ✓ BinaryHeaps
   3183.8 ms  ✓ ADTypes
   5884.9 ms  ✓ IrrationalConstants
   2388.8 ms  ✓ SuiteSparse_jll
   2209.0 ms  ✓ RuntimeGeneratedFunctions
   2107.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2293.3 ms  ✓ GPUArraysCore
   3287.0 ms  ✓ Preferences
   2013.8 ms  ✓ Compat → CompatLinearAlgebraExt
   1991.9 ms  ✓ EnzymeCore → AdaptExt
   2600.2 ms  ✓ ArrayInterface
   3114.6 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   2102.4 ms  ✓ DiffResults
   1895.6 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2800.5 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1903.4 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   1672.7 ms  ✓ PrecompileTools
   1794.4 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1872.8 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2192.5 ms  ✓ SciMLLogging
   2701.0 ms  ✓ LogExpFunctions
   2208.1 ms  ✓ JLLWrappers
   7262.9 ms  ✓ Distributed
   2297.7 ms  ✓ FastBroadcast
   4298.2 ms  ✓ DifferentiationInterface
   1997.4 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2108.5 ms  ✓ OpenSpecFun_jll
   2182.2 ms  ✓ IntelOpenMP_jll
   2293.0 ms  ✓ oneTBB_jll
   2911.1 ms  ✓ SciMLStructures
   9197.2 ms  ✓ MacroTools
   3335.3 ms  ✓ MuladdMacro
   7708.7 ms  ✓ TimerOutputs
   2204.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   1308.5 ms  ✓ TruncatedStacktraces
   1401.3 ms  ✓ CommonSubexpressions
   4396.0 ms  ✓ PreallocationTools
   1602.7 ms  ✓ MKL_jll
   1727.8 ms  ✓ MaybeInplace
   4849.0 ms  ✓ RecipesBase
    799.1 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
   1105.5 ms  ✓ FunctionWrappersWrappers
   2413.9 ms  ✓ Setfield
   5942.3 ms  ✓ FindFirstFunctions
    626.1 ms  ✓ RespecializeParams
    888.5 ms  ✓ FiniteDiff
   3303.6 ms  ✓ Accessors
   8494.4 ms  ✓ SparseArrays
    913.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
    992.6 ms  ✓ Accessors → LinearAlgebraExt
   4873.5 ms  ✓ SpecialFunctions
   1997.3 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2004.8 ms  ✓ Adapt → AdaptSparseArraysExt
   2193.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2491.5 ms  ✓ AMD
   2493.6 ms  ✓ Statistics
   2581.8 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2585.7 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   1716.8 ms  ✓ DiffRules
   2611.5 ms  ✓ SymbolicIndexingInterface
   3146.3 ms  ✓ SciMLOperators
    859.1 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
    957.1 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   3824.5 ms  ✓ ForwardDiff
   1699.5 ms  ✓ FastPower → FastPowerForwardDiffExt
   2072.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   5495.8 ms  ✓ RecursiveArrayTools
   4081.0 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  11396.1 ms  ✓ SparseMatrixColorings
   2692.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   2903.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2996.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   3819.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   2413.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
  14970.5 ms  ✓ Krylov
  17117.8 ms  ✓ SparseColumnPivotedQR
    429.9 ms  ✓ SparseColumnPivotedQR → SparseColumnPivotedQRAMDExt
  11582.3 ms  ✓ SciMLBase
   2570.1 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   2798.5 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   4815.6 ms  ✓ SciMLJacobianOperators
  32279.9 ms  ✓ PureKLU
    520.6 ms  ✓ PureKLU → PureKLUForwardDiffExt
   3286.9 ms  ✓ LineSearch
   4645.3 ms  ✓ NonlinearSolveBase
   1011.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1256.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   1263.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   3373.7 ms  ✓ BracketingNonlinearSolve
   5800.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   9760.1 ms  ✓ LinearSolve
   1877.3 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   3545.9 ms  ✓ DiffEqBase
   8510.7 ms  ✓ NonlinearSolveSpectralMethods
   1978.0 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   4133.3 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
   1441.4 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   1492.8 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   5798.2 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   5933.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   5510.0 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   4073.3 ms  ✓ OrdinaryDiffEqCore
   2191.3 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
  10018.0 ms  ✓ SimpleNonlinearSolve
   2900.0 ms  ✓ OrdinaryDiffEqDifferentiation
   1486.9 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
   6267.4 ms  ✓ OrdinaryDiffEqTsit5
  18757.8 ms  ✓ NonlinearSolveQuasiNewton
   1323.4 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  34760.2 ms  ✓ OrdinaryDiffEqVerner
  37885.8 ms  ✓ OrdinaryDiffEqRosenbrock
  47969.5 ms  ✓ NonlinearSolveFirstOrder
  25326.3 ms  ✓ NonlinearSolve
   2552.7 ms  ✓ OrdinaryDiffEqNonlinearSolve
  34285.7 ms  ✓ OrdinaryDiffEqSDIRK
  10336.1 ms  ✓ OrdinaryDiffEqBDF
  26398.6 ms  ✓ OrdinaryDiffEqDefault
   2617.0 ms  ✓ OrdinaryDiffEq
  142 dependencies successfully precompiled in 213 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 667.23
	System time (seconds): 34.73
	Percent of CPU this job got: 327%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:34.35
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2372460
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 741
	Minor (reclaiming a frame) page faults: 9756988
	Voluntary context switches: 187839
	Involuntary context switches: 65917
	Swaps: 0
	File system inputs: 256
	File system outputs: 1514480
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
